name,RMA-traj,RMA-V,RMA-TR,RMA-L,RMA-T,load_mass,work,E-score
FB35-G50,0.10699366820521247,0.15669150326797385,0.07778662552941176,0.08560283928660092,0.13265650002704077,-0.05202312138728328,0.0,0.08767990742773625
FB35-G100,0.04043118467455896,0.14465947712418298,0.07024259188235295,0.08746483116171239,0.14150370466077888,0.0,0.012809735763695616,0.07101593218104024
FB35-G200,0.06317120206355442,0.11956535947712416,0.09248907889411764,0.09250077918629336,0.14845120796254432,0.0,-0.06649952065467214,0.08365247452124437
FB35-G400,0.192901540191246,0.24227450980392154,0.09260705629411764,0.12200991414007592,0.15399549037135057,-0.12427745664739889,-0.1166175405777291,0.14924050114654852
HD27-G50,0.0692881976831618,0.077790770609319,0.1888542342903226,0.15559023185734208,0.11573295196934004,0.1888888888888888,0.3288172665134629,0.16070893454454815
HD27-G100,0.04983482775013134,0.07474327956989246,0.12612839729032257,0.10998516408543665,0.10404540463157487,0.14444444444444432,0.13173879105622233,0.1058457584040035
HD27-G200,0.031110596895203006,0.06993996415770608,0.11707769651612901,0.08992744210660007,0.10200279703497421,0.13333333333333328,0.0,0.07786314538954257
HD27-G400,0.11451548475710817,0.07208109318996415,0.09635041572580645,0.08543513656509444,0.11037802970927076,0.040740740740740695,-0.15296750963401795,0.09606691576028607
RD21-G50,0.04804311606248851,0.04505625,0.15760849415,0.06586031907714057,0.0714329112925322,0.09999999999999998,0.15690007482941223,0.09212873791593905
RD21-G100,0.05895020804371135,0.04627337962962962,0.13807587921666667,0.05226327906510219,0.07718033610387609,0.10952380952380951,-0.0319564745569417,0.07346048087710529
RD21-G200,0.10023972806414042,0.04349907407407407,0.10323973708333334,0.05612970662439717,0.07049128003833481,0.20476190476190462,-0.20066992601405145,0.11129019380860512
RD21-G400,0.2145978328882501,0.04247453703703703,0.16273347025,0.09557448287902533,0.07719323307963476,0.3095238095238095,-0.3083002450868257,0.17291394439208319
